failed_logins,successful_logins,priv_escalations,file_access_events,kernel_alerts,auth_ratio,unique_ips,failed_per_ip,users_count,privileged_user_targeted,multiple_failed_users_flag,priv_after_failure_flag,svc_sshd,svc_sudo,svc_kernel,hour,day_of_week,is_night,is_weekend,sensitive_file_access,suspicious_command_flag,weird_behavior_flag,failed_to_success_sequence,ip_entropy,label
35,0,0,5,0,1.0,28,1.25,13,1,1,0,1,0,0,13,2,0,0,0,1,1,0,0.7778,ATTACK
0,3,0,1,0,0.0,3,0.0,1,0,0,0,1,0,0,22,2,1,0,0,0,0,0,3.0,NORMAL
0,1,0,1,0,0.0,1,0.0,1,0,0,0,1,0,0,11,3,0,0,1,0,0,0,1.0,NORMAL
4,1,0,1,0,0.8,4,1.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.8,NORMAL
26,1,0,4,1,0.9629629629629629,35,0.7428571428571429,9,1,1,0,1,0,0,12,3,0,0,0,1,1,1,1.2963,ATTACK
72,1,0,3,0,0.9863013698630136,2,36.0,2,1,1,0,1,0,0,16,6,0,1,1,0,1,1,0.0274,ATTACK
0,2,0,2,0,0.0,2,0.0,2,0,1,0,1,0,0,16,1,0,0,0,0,1,0,2.0,NORMAL
1,3,0,0,0,0.25,3,0.3333333333333333,1,0,0,0,1,1,0,10,0,0,0,0,0,0,1,1.5,NORMAL
2,1,0,0,0,0.6666666666666666,3,0.6666666666666666,2,0,1,0,1,0,0,15,2,0,0,0,0,0,1,1.0,NORMAL
2,2,0,2,0,0.5,2,1.0,1,1,0,0,1,0,0,12,1,0,0,0,0,0,1,0.6667,NORMAL
1,2,0,0,0,0.3333333333333333,3,0.3333333333333333,1,0,0,0,1,0,0,15,2,0,0,0,0,0,1,1.5,NORMAL
1,3,0,1,0,0.25,2,0.5,1,0,0,0,1,0,0,17,2,0,0,0,0,0,1,1.0,NORMAL
2,2,0,2,0,0.5,2,1.0,2,0,1,0,1,0,0,13,0,0,1,0,1,0,1,0.6667,NORMAL
2,3,0,2,0,0.4,2,1.0,1,0,0,0,1,0,0,21,1,0,0,0,0,0,1,0.6667,NORMAL
17,0,0,5,1,1.0,14,1.2142857142857142,7,1,1,0,1,0,0,9,1,0,1,1,1,1,0,0.7778,ATTACK
1,2,0,2,0,0.3333333333333333,3,0.3333333333333333,2,0,1,0,1,0,0,11,4,0,0,0,0,1,1,1.5,NORMAL
2,3,0,1,0,0.4,2,1.0,2,0,1,0,1,1,0,19,4,0,0,0,0,1,1,0.6667,NORMAL
1,3,0,0,0,0.25,1,1.0,1,0,0,0,1,1,0,16,0,0,0,0,0,0,1,0.5,NORMAL
1,1,0,1,0,0.5,1,1.0,2,1,1,0,1,0,0,10,1,0,0,1,0,0,1,0.5,NORMAL
0,2,2,2,1,0.0,2,0.0,1,0,0,0,1,1,0,20,2,0,1,1,1,1,0,2.0,ATTACK
56,0,0,3,1,1.0,1,56.0,1,1,0,0,1,0,0,13,0,0,1,0,1,1,0,0.0175,ATTACK
2,1,0,1,0,0.6666666666666666,3,0.6666666666666666,2,0,1,0,1,0,0,14,3,0,0,0,0,0,1,1.0,NORMAL
1,1,0,2,0,0.5,2,0.5,2,0,1,0,1,0,0,10,1,0,0,0,0,1,1,1.0,NORMAL
0,1,0,2,0,0.0,2,0.0,2,0,1,0,1,0,0,5,4,1,0,1,0,0,0,2.0,NORMAL
27,1,0,3,1,0.9642857142857143,19,1.4210526315789473,18,1,1,0,1,0,0,19,4,0,0,1,1,1,1,0.6786,ATTACK
2,1,0,1,0,0.6666666666666666,1,2.0,1,0,0,0,1,0,0,3,4,1,0,0,0,0,1,0.3333,NORMAL
0,2,0,0,0,0.0,2,0.0,2,0,1,0,1,0,0,14,3,0,0,0,1,0,0,2.0,NORMAL
1,3,0,0,0,0.25,3,0.3333333333333333,2,0,1,0,1,0,0,21,0,0,0,1,0,0,1,1.5,NORMAL
0,1,0,2,0,0.0,1,0.0,1,0,0,0,1,0,0,11,0,0,1,0,0,0,0,1.0,NORMAL
0,2,0,2,0,0.0,1,0.0,1,0,0,0,1,0,0,10,2,0,0,0,1,0,0,1.0,NORMAL
2,2,0,0,0,0.5,3,0.6666666666666666,1,0,0,0,1,0,0,17,4,0,0,0,0,0,1,1.0,NORMAL
1,1,0,1,0,0.5,3,0.3333333333333333,1,0,0,0,1,0,0,10,2,0,0,0,0,0,1,1.5,NORMAL
2,1,0,2,0,0.6666666666666666,1,2.0,2,0,1,0,1,0,0,20,4,0,0,0,0,0,1,0.3333,NORMAL
46,1,0,3,0,0.9787234042553191,2,23.0,2,0,1,0,1,0,0,13,3,0,0,0,0,1,1,0.0426,ATTACK
2,1,0,0,0,0.6666666666666666,3,0.6666666666666666,2,0,1,0,1,1,0,17,0,0,0,0,0,1,1,1.0,NORMAL
4,2,0,0,0,0.6666666666666666,4,1.0,1,0,0,0,1,0,0,17,3,0,0,0,0,0,1,0.8,NORMAL
2,3,0,1,0,0.4,3,0.6666666666666666,1,0,0,0,1,0,0,3,3,1,0,1,0,0,1,1.0,NORMAL
1,2,0,1,0,0.3333333333333333,1,1.0,1,0,0,0,1,0,0,11,4,0,0,0,0,0,1,0.5,NORMAL
0,3,0,1,0,0.0,1,0.0,1,0,0,0,1,0,0,8,1,0,0,0,1,0,0,1.0,NORMAL
27,0,0,3,0,1.0,22,1.2272727272727273,15,1,1,0,1,0,0,21,3,0,1,1,1,1,0,0.7857,ATTACK
0,3,1,2,0,0.0,1,0.0,1,1,0,0,1,1,0,9,3,0,0,0,0,0,0,1.0,NORMAL
0,3,0,1,0,0.0,1,0.0,1,0,0,0,1,0,0,10,0,0,0,1,0,0,0,1.0,NORMAL
2,3,0,0,0,0.4,3,0.6666666666666666,1,0,0,0,1,0,0,9,3,0,0,0,0,0,1,1.0,NORMAL
1,3,0,0,0,0.25,3,0.3333333333333333,2,0,1,0,1,0,0,10,4,0,0,0,0,0,1,1.5,NORMAL
50,1,0,5,1,0.9803921568627451,1,50.0,1,1,0,0,1,0,0,19,1,0,1,1,1,1,1,0.0196,ATTACK
1,3,0,1,0,0.25,1,1.0,2,0,1,0,1,0,0,16,4,0,1,0,0,0,1,0.5,NORMAL
5,3,1,1,0,0.625,2,2.5,2,0,1,1,1,1,0,12,1,0,0,0,0,0,1,0.3333,NORMAL
2,2,0,0,0,0.5,2,1.0,2,0,1,0,1,0,0,15,2,0,0,0,0,0,1,0.6667,NORMAL
