failed_logins,successful_logins,priv_escalations,file_access_events,kernel_alerts,auth_ratio,unique_ips,failed_per_ip,users_count,privileged_user_targeted,multiple_failed_users_flag,priv_after_failure_flag,svc_sshd,svc_sudo,svc_kernel,hour,day_of_week,is_night,is_weekend,sensitive_file_access,suspicious_command_flag,weird_behavior_flag,failed_to_success_sequence,ip_entropy,label
0,1,1,1,0,0.0,2,0.0,2,0,1,0,1,0,0,14,2,0,0,0,1,0,0,2.0,NORMAL
1,2,0,1,0,0.3333333333333333,3,0.3333333333333333,1,0,0,0,1,0,0,14,3,0,0,0,0,0,1,1.5,NORMAL
0,1,0,2,0,0.0,1,0.0,2,0,1,0,1,0,0,8,4,0,0,0,0,1,0,1.0,NORMAL
2,1,0,0,0,0.6666666666666666,3,0.6666666666666666,2,0,1,0,1,0,0,20,2,0,0,0,1,0,1,1.0,NORMAL
0,2,0,2,0,0.0,3,0.0,2,0,1,0,1,0,0,9,0,0,0,0,0,0,0,3.0,NORMAL
2,2,0,1,0,0.5,3,0.6666666666666666,2,0,1,0,1,0,0,15,0,0,0,0,1,0,1,1.0,NORMAL
0,3,0,1,0,0.0,2,0.0,1,0,0,0,1,1,0,10,1,0,0,0,0,1,0,2.0,NORMAL
1,2,0,0,0,0.3333333333333333,3,0.3333333333333333,1,1,0,0,1,0,0,15,3,0,0,0,0,1,1,1.5,NORMAL
0,2,0,2,0,0.0,2,0.0,2,0,1,0,1,0,0,16,0,0,0,1,0,1,0,2.0,NORMAL
6,1,0,1,0,0.8571428571428571,3,2.0,1,0,0,0,1,0,0,18,1,0,0,0,0,0,1,0.4286,NORMAL
1,2,0,2,0,0.3333333333333333,1,1.0,2,0,1,0,1,0,0,9,1,0,1,0,0,1,1,0.5,NORMAL
1,1,0,2,0,0.5,1,1.0,2,0,1,0,1,1,0,22,3,1,0,0,0,0,1,0.5,NORMAL
0,2,0,1,0,0.0,1,0.0,1,0,0,0,1,0,0,8,4,0,0,0,0,1,0,1.0,NORMAL
0,2,0,0,0,0.0,1,0.0,2,0,1,0,1,1,0,9,3,0,0,0,0,0,0,1.0,NORMAL
2,3,0,1,0,0.4,2,1.0,2,0,1,0,1,0,0,16,3,0,1,0,0,0,1,0.6667,NORMAL
0,3,0,2,0,0.0,3,0.0,2,0,1,0,1,0,0,15,4,0,0,0,0,0,0,3.0,NORMAL
2,2,0,2,0,0.5,2,1.0,2,0,1,0,1,0,0,22,0,1,0,0,1,0,1,0.6667,NORMAL
2,3,0,0,0,0.4,4,0.5,1,0,0,0,1,0,0,8,3,0,0,0,0,0,1,1.3333,NORMAL
4,3,0,1,0,0.5714285714285714,3,1.3333333333333333,2,0,1,0,1,1,0,13,3,0,0,0,0,0,1,0.6,NORMAL
